well,sample,file
A1,188-555-1,188-555-1
A2,194-555-1,194-555-1
A3,194-555-2,194-555-2
A4,194-555-3,194-555-3
A5,188-555-2,188-555-2
A6,210-373-1,210-373-1
A7,210-373-2,210-373-2
A8,210-373-3,210-373-3
A9,188-555-3,188-555-3
A10,255-555-1,255-555-1
A11,255-555-2,255-555-2
A12,255-555-3,255-555-3
B1,NA-blank-1,NA-blank-1
B2,194-373-1,194-373-1
B3,194-373-2,194-373-2
B4,194-373-3,194-373-3
B5,NA-156-1,NA-156-1
B6,210-555-1,210-555-1
B7,210-555-2,210-555-2
B8,210-555-3,210-555-3
B9,NA-373-1,NA-373-1
B10,255-373-1,255-373-1
B11,255-373-2,255-373-2
B12,255-373-3,255-373-3
C1,188-555-4,188-555-4
C2,209-555-1o,209-555-1o
C3,209-555-2o,209-555-2o
C4,209-555-3o,209-555-3o
C5,188-555-5,188-555-5
C6,217-373-1,217-373-1
C7,217-373-2,217-373-2
C8,217-373-3,217-373-3
C9,188-555-6,188-555-6
C10,265-555-1,265-555-1
C11,265-555-2,265-555-2
C12,265-555-3,265-555-3
D1,NA-555-1,NA-555-1
D2,209-373-1o,209-373-1o
D3,209-373-2o,209-373-2o
D4,209-373-3o,209-373-3o
D5,NA-blank-2,NA-blank-2
D6,217-555-1,217-555-1
D7,217-555-2,217-555-2
D8,217-555-3,217-555-3
D9,NA-156-2,NA-156-2
D10,265-373-1,265-373-1
D11,265-373-2,265-373-2
D12,265-373-3,265-373-3
E1,188-555-7,188-555-7
E2,210-555-1o,210-555-1o
E3,210-555-2o,210-555-2o
E4,210-555-3o,210-555-3o
E5,188-555-8,188-555-8
E6,227-373-1,227-373-1
E7,227-373-2,227-373-2
E8,227-373-3,227-373-3
E9,188-555-9,188-555-9
E10,266-555-1,266-555-1
E11,266-555-2,266-555-2
E12,266-555-3,266-555-3
F1,NA-373-2,NA-373-2
F2,210-373-1o,210-373-1o
F3,210-373-2o,210-373-2o
F4,210-373-3o,210-373-3o
F5,NA-555-2,NA-555-2
F6,227-555-1,227-555-1
F7,227-555-2,227-555-2
F8,227-555-3,227-555-3
F9,NA-blank-3,NA-blank-3
F10,266-373-1,266-373-1
F11,266-373-2,266-373-2
F12,266-373-3,266-373-3
G1,188-555-10,188-555-10
G2,209-555-1,209-555-1
G3,209-555-2,209-555-2
G4,209-555-3,209-555-3
G5,188-555-11,188-555-11
G6,250-373-1,250-373-1
G7,250-373-2,250-373-2
G8,250-373-3,250-373-3
G9,188-555-12,188-555-12
G10,188-373-1,188-373-1
G11,188-373-2,188-373-2
G12,188-373-3,188-373-3
H1,NA-156-3,NA-156-3
H2,209-373-1,209-373-1
H3,209-373-2,209-373-2
H4,209-373-3,209-373-3
H5,NA-373-3,NA-373-3
H6,250-555-1,250-555-1
H7,250-555-2,250-555-2
H8,250-555-3,250-555-3
H9,NA-555-3,NA-555-3
H10,NA-blank-4,NA-blank-4
H11,NA-blank-5,NA-blank-5
H12,NA-blank-6,NA-blank-6
