well,file,sample
A1,188-555-1,188-555-1
A2,194-555-1,194-555-1
A3,194-555-2,194-555-2
A4,194-555-3,194-555-3
A5,188-555-2,188-555-2
A6,279-373-1,279-373-1
A7,279-373-2,279-373-2
A8,279-373-3,279-373-3
A9,188-555-3,188-555-3
B1,NA-blank-1,NA-blank-1
B2,194-373-1,194-373-1
B3,194-373-2,194-373-2
B4,194-373-3,194-373-3
B5,NA-156-1,NA-156-1
B6,279-555-1,279-555-1
B7,279-555-2,279-555-2
B8,279-555-3,279-555-3
B9,NA-373-1,NA-373-1
C1,188-555-4,188-555-4
C2,276-555-1,276-555-1
C3,276-555-2,276-555-2
C4,276-555-3,276-555-3
C5,188-555-5,188-555-5
C6,188-373-1,188-373-1
C7,188-373-2,188-373-2
C8,188-373-3,188-373-3
C9,188-555-6,188-555-6
D1,NA-555-1,NA-555-1
D2,276-373-1,276-373-1
D3,276-373-2,276-373-2
D4,276-373-3,276-373-3
D5,NA-blank-2,NA-blank-2
D9,NA-156-2,NA-156-2
E1,188-555-7,188-555-7
E2,277-555-1,277-555-1
E3,277-555-2,277-555-2
E4,277-555-3,277-555-3
E5,188-555-8,188-555-8
E9,188-555-9,188-555-9
F1,NA-373-2,NA-373-2
F2,277-373-1,277-373-1
F3,277-373-2,277-373-2
F4,277-373-3,277-373-3
F5,NA-555-2,NA-555-2
F9,NA-blank-3,NA-blank-3
G1,188-555-10,188-555-10
G2,278-555-1,278-555-1
G3,278-555-2,278-555-2
G4,278-555-3,278-555-3
G5,188-555-11,188-555-11
G9,188-555-12,188-555-12
H1,NA-156-3,NA-156-3
H2,278-373-1,278-373-1
H3,278-373-2,278-373-2
H4,278-373-3,278-373-3
H5,NA-373-3,NA-373-3
H9,NA-555-3,NA-555-3
