well,file,sample
A1,188-555-1,188-555-1
A2,194-555-1,194-555-1
A3,194-555-2,194-555-2
A4,194-555-3,194-555-3
A5,188-555-2,188-555-2
A6,211-555-1,211-555-1
A7,211-555-2,211-555-2
A8,211-555-3,211-555-3
A9,188-555-3,188-555-3
B1,NA-blank-1,NA-blank-1
B2,194-373-1,194-373-1
B3,194-373-2,194-373-2
B4,194-373-3,194-373-3
B5,NA-156-1,NA-156-1
B6,233-555-1,233-555-1
B7,233-555-2,233-555-2
B8,233-555-3,233-555-3
B9,NA-373-1,NA-373-1
C1,188-555-4,188-555-4
C2,218-555-1,218-555-1
C3,218-555-2,218-555-2
C4,218-555-3,218-555-3
C5,188-555-5,188-555-5
C6,251-555-1,251-555-1
C7,251-555-2,251-555-2
C8,251-555-3,251-555-3
C9,188-555-6,188-555-6
D1,NA-555-1,NA-555-1
D2,218-373-1,218-373-1
D3,218-373-2,218-373-2
D4,218-373-3,218-373-3
D5,NA-blank-2,NA-blank-2
D6,231-555-1,231-555-1
D7,231-555-2,231-555-2
D8,231-555-3,231-555-3
D9,NA-156-2,NA-156-2
E1,188-555-7,188-555-7
E2,230-555-1,230-555-1
E3,230-555-2,230-555-2
E4,230-555-3,230-555-3
E5,188-555-8,188-555-8
E6,252-555-1,252-555-1
E7,252-555-2,252-555-2
E8,252-555-3,252-555-3
E9,188-555-9,188-555-9
F1,NA-373-2,NA-373-2
F2,230-373-1,230-373-1
F3,230-373-2,230-373-2
F4,230-373-3,230-373-3
F5,NA-555-2,NA-555-2
F6,241-555-1,241-555-1
F7,241-555-2,241-555-2
F8,241-555-3,241-555-3
F9,NA-blank-3,NA-blank-3
G1,188-555-10,188-555-10
G2,253-555-1,253-555-1
G3,253-555-2,253-555-2
G4,253-555-3,253-555-3
G5,188-555-11,188-555-11
G6,188-373-1,188-373-1
G7,188-373-2,188-373-2
G8,188-373-3,188-373-3
G9,188-555-12,188-555-12
H1,NA-156-3,NA-156-3
H2,253-373-1,253-373-1
H3,253-373-2,253-373-2
H4,253-373-3,253-373-3
H5,NA-373-3,NA-373-3
H6,NA-blank-4,NA-blank-4
H7,NA-blank-5,NA-blank-5
H8,NA-blank-6,NA-blank-6
H9,NA-555-3,NA-555-3
